,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,378,NA,NA,NA,NA,NA,NA,NA,N
0,379,NA,NA,NA,NA,NA,NA,NA,N
0,380,NA,NA,NA,NA,NA,NA,NA,N
0,381,NA,NA,NA,NA,NA,NA,NA,N
0,382,NA,NA,NA,NA,NA,NA,NA,N
0,383,NA,NA,NA,NA,NA,NA,NA,N
0,384,NA,NA,NA,NA,NA,NA,NA,N
0,385,NA,NA,NA,NA,NA,NA,NA,F
0,386,NA,NA,NA,NA,NA,NA,NA,N
0,387,NA,NA,NA,NA,NA,NA,NA,N
0,388,NA,NA,NA,NA,NA,NA,NA,N
0,389,NA,NA,NA,NA,NA,NA,NA,F
0,390,NA,NA,NA,NA,NA,NA,NA,N
0,391,NA,NA,NA,NA,NA,NA,NA,N
0,392,NA,NA,NA,NA,NA,NA,NA,N
0,393,NA,NA,NA,NA,NA,NA,NA,N
0,394,NA,NA,NA,NA,NA,NA,NA,N
0,395,NA,NA,NA,NA,NA,NA,NA,N
0,396,NA,NA,NA,NA,NA,NA,NA,N
0,397,NA,NA,NA,NA,NA,NA,NA,N
0,398,NA,NA,NA,NA,NA,NA,NA,N
0,399,NA,NA,NA,NA,NA,NA,NA,N
0,400,NA,NA,NA,NA,NA,NA,NA,N
0,401,NA,NA,NA,NA,NA,NA,NA,N
0,402,NA,NA,NA,NA,NA,NA,NA,F
0,403,NA,NA,NA,NA,NA,NA,NA,N
0,404,NA,NA,NA,NA,NA,NA,NA,N
0,405,NA,NA,NA,NA,NA,NA,NA,N
0,406,NA,NA,NA,NA,NA,NA,NA,N
0,407,NA,NA,NA,NA,NA,NA,NA,N
0,408,NA,NA,NA,NA,NA,NA,NA,N
0,409,NA,NA,NA,NA,NA,NA,NA,N
0,410,NA,NA,NA,NA,NA,NA,NA,F
0,411,NA,NA,NA,NA,NA,NA,NA,N
0,412,NA,NA,NA,NA,NA,NA,NA,N
0,413,NA,NA,NA,NA,NA,NA,NA,N
0,414,NA,NA,NA,NA,NA,NA,NA,N
0,415,NA,NA,NA,NA,NA,NA,NA,N
0,416,NA,NA,NA,NA,NA,NA,NA,N
0,417,NA,NA,NA,NA,NA,NA,NA,N
0,418,NA,NA,NA,NA,NA,NA,NA,N
0,419,NA,NA,NA,NA,NA,NA,NA,N
0,420,NA,NA,NA,NA,NA,NA,NA,N
0,421,NA,NA,NA,NA,NA,NA,NA,N
0,422,NA,NA,NA,NA,NA,NA,NA,N
0,423,NA,NA,NA,NA,NA,NA,NA,N
0,424,NA,NA,NA,NA,NA,NA,NA,N
0,425,NA,NA,NA,NA,NA,NA,NA,N
0,426,NA,NA,NA,NA,NA,NA,NA,F
0,427,NA,NA,NA,NA,NA,NA,NA,N
0,428,NA,NA,NA,NA,NA,NA,NA,N
0,429,NA,NA,NA,NA,NA,NA,NA,N
0,430,NA,NA,NA,NA,NA,NA,NA,N
0,431,NA,NA,NA,NA,NA,NA,NA,N
0,432,NA,NA,NA,NA,NA,NA,NA,N
0,433,NA,NA,NA,NA,NA,NA,NA,N
0,434,NA,NA,NA,NA,NA,NA,NA,N
0,435,NA,NA,NA,NA,NA,NA,NA,N
0,436,NA,NA,NA,NA,NA,NA,NA,N
0,437,NA,NA,NA,NA,NA,NA,NA,N
0,438,NA,NA,NA,NA,NA,NA,NA,N
0,439,NA,NA,NA,NA,NA,NA,NA,N
0,440,NA,NA,NA,NA,NA,NA,NA,N
0,441,NA,NA,NA,NA,NA,NA,NA,N
0,442,NA,NA,NA,NA,NA,NA,NA,N
