,GroupID,a,b,c,d,AIC,Converge
0,513,37419.33787175216,-401.34545805230084,1.43140192751939,-0.0016971082099117827,-27.974487321585634,Y
0,514,5860.355332241335,-63.4115681282529,0.22824538600795566,-0.00027322512248683284,-16.277328632390525,Y
0,515,30559.12244168331,-327.0090448348737,1.1638664432148844,-0.0013774245252765416,-9.948618830176109,Y
0,516,10269.711297717844,-110.68639410856848,0.39713180156357203,-0.00047427116365822034,-11.725110766449653,Y
0,517,16462.829377279046,-180.15898911468088,0.6552596213516948,-0.0007919299830856407,-11.560244155718056,Y
0,518,8663.687491378203,-97.07453038641526,0.36031973536715206,-0.0004430220438525897,-9.919595372828855,Y
0,519,-2531.0156861136675,20.014699153570746,-0.04747388723121357,3.001500794798667e-05,-10.816983632922053,Y
0,520,-1126.6532031995919,5.865818418510558,0.00018787669963000095,-2.3756848463683014e-05,-17.24581081680025,Y
0,521,9469.068386637613,-110.19163767337551,0.42324610947958186,-0.0005369771340313149,-19.50233888477519,Y
0,522,-5272.0856392754495,47.67199807960194,-0.13990070579350264,0.000132128584621529,-2.332838076611086,Y
0,523,22104.904785652172,-240.88688337623867,0.8723958351660828,-0.0010497428093851446,-3.6083897883031675,Y
0,524,-1447.042384831163,8.83038071483068,-0.008766218318060178,-1.5069886191820734e-05,-7.935385059794164,Y
0,525,-2857.8287626896868,24.353334511460538,-0.06590829527424004,5.530876461825012e-05,-3.614058268455853,Y
0,526,-10546.261758849208,104.77608263275951,-0.34583547752597676,0.00037955702147519167,-6.897612197620269,Y
0,527,-6820.0709891280385,66.34759344960932,-0.2135539565976179,0.00022741141339872645,-14.967635567814341,Y
0,528,2562.8410303838587,-30.427109633304596,0.11776135202385359,-0.00014908084782727405,-16.01077077065635,Y
0,529,12204.758612752583,-126.01908798577358,0.4335026703721187,-0.000496499419880523,-19.243799083535773,Y
0,530,23142.867121567066,-231.90768212686422,0.7757722198058205,-0.0008658729389535,-6.42084365972827,Y
0,531,-35150.21006343235,336.8775338590107,-1.0733017396778974,0.0011369231403855968,-29.729322641129436,Y
0,532,10210.735816939694,-121.29063425604684,0.4705506855496312,-0.0005977086562632755,13.366787460822632,Y
0,533,48683.14954965954,-517.3718584884692,1.8266787755572989,-0.0021416253019635595,14.240635390562197,Y
0,534,-126721.47632641238,1238.65020596763,-4.026602620963739,0.0043536330215741825,8.760598797542585,Y
0,535,-7443.6202028254675,72.83658962318742,-0.23726323800142488,0.0002573195117857184,-34.28487884876863,Y
0,536,-1888.9996710170667,18.67809391948081,-0.06144726058512906,6.727091267165183e-05,-50.20717849049399,Y
0,537,-6945.222566482095,71.870925123265,-0.2478078522479304,0.000284796258199648,-26.18821989676151,Y
0,538,-95972.68025763927,972.1300152632408,-3.28227864766571,0.003694392485684901,-8.788940798789724,Y
0,539,-461869.34184168227,4673.798768190849,-15.763397294448582,0.017720176080980414,8.61792406226964,Y
0,540,265506.70040909096,-2685.94877299651,9.057183177563822,-0.010179793003671342,-7.701386113972822,Y
0,541,-31308.66602845119,317.2717209087121,-1.070199863444696,0.0012022710147322434,-0.037880199450780694,Y
0,542,35629.484521600025,-365.70729165818284,1.250885131543071,-0.0014256257877046294,3.823387789205415,Y
0,543,91785.56080248598,-934.6890276082215,3.1723691859778604,-0.0035883402573381623,8.530924207464068,Y
