,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,398,NA,NA,NA,NA,NA,NA,NA,N
0,399,NA,NA,NA,NA,NA,NA,NA,N
0,400,NA,NA,NA,NA,NA,NA,NA,N
0,401,NA,NA,NA,NA,NA,NA,NA,N
0,402,NA,NA,NA,NA,NA,NA,NA,F
0,403,NA,NA,NA,NA,NA,NA,NA,N
0,404,NA,NA,NA,NA,NA,NA,NA,N
0,405,NA,NA,NA,NA,NA,NA,NA,N
0,406,NA,NA,NA,NA,NA,NA,NA,N
0,407,NA,NA,NA,NA,NA,NA,NA,N
0,408,NA,NA,NA,NA,NA,NA,NA,N
0,409,NA,NA,NA,NA,NA,NA,NA,N
0,410,NA,NA,NA,NA,NA,NA,NA,F
0,411,NA,NA,NA,NA,NA,NA,NA,N
0,412,NA,NA,NA,NA,NA,NA,NA,N
0,413,NA,NA,NA,NA,NA,NA,NA,N
0,414,NA,NA,NA,NA,NA,NA,NA,N
0,415,NA,NA,NA,NA,NA,NA,NA,N
0,416,NA,NA,NA,NA,NA,NA,NA,N
0,417,NA,NA,NA,NA,NA,NA,NA,N
0,418,NA,NA,NA,NA,NA,NA,NA,N
0,419,NA,NA,NA,NA,NA,NA,NA,N
0,420,NA,NA,NA,NA,NA,NA,NA,N
0,421,NA,NA,NA,NA,NA,NA,NA,N
0,422,NA,NA,NA,NA,NA,NA,NA,N
0,423,NA,NA,NA,NA,NA,NA,NA,N
0,424,NA,NA,NA,NA,NA,NA,NA,N
0,425,NA,NA,NA,NA,NA,NA,NA,N
0,426,NA,NA,NA,NA,NA,NA,NA,F
0,427,NA,NA,NA,NA,NA,NA,NA,N
0,428,NA,NA,NA,NA,NA,NA,NA,N
0,429,NA,NA,NA,NA,NA,NA,NA,N
0,430,NA,NA,NA,NA,NA,NA,NA,N
0,431,NA,NA,NA,NA,NA,NA,NA,N
0,432,NA,NA,NA,NA,NA,NA,NA,N
0,433,NA,NA,NA,NA,NA,NA,NA,N
0,434,NA,NA,NA,NA,NA,NA,NA,N
0,435,NA,NA,NA,NA,NA,NA,NA,N
0,436,NA,NA,NA,NA,NA,NA,NA,N
0,437,NA,NA,NA,NA,NA,NA,NA,N
0,438,NA,NA,NA,NA,NA,NA,NA,N
0,439,NA,NA,NA,NA,NA,NA,NA,N
0,440,NA,NA,NA,NA,NA,NA,NA,N
0,441,NA,NA,NA,NA,NA,NA,NA,N
0,442,NA,NA,NA,NA,NA,NA,NA,N
0,443,NA,NA,NA,NA,NA,NA,NA,N
0,444,NA,NA,NA,NA,NA,NA,NA,N
0,445,NA,NA,NA,NA,NA,NA,NA,F
0,446,NA,NA,NA,NA,NA,NA,NA,F
0,447,NA,NA,NA,NA,NA,NA,NA,N
0,448,NA,NA,NA,NA,NA,NA,NA,N
0,449,NA,NA,NA,NA,NA,NA,NA,F
0,450,NA,NA,NA,NA,NA,NA,NA,N
0,451,NA,NA,NA,NA,NA,NA,NA,N
0,452,NA,NA,NA,NA,NA,NA,NA,F
0,453,NA,NA,NA,NA,NA,NA,NA,N
0,454,NA,NA,NA,NA,NA,NA,NA,N
0,455,NA,NA,NA,NA,NA,NA,NA,N
0,456,NA,NA,NA,NA,NA,NA,NA,N
0,457,NA,NA,NA,NA,NA,NA,NA,N
0,458,NA,NA,NA,NA,NA,NA,NA,N
0,459,NA,NA,NA,NA,NA,NA,NA,F
0,460,NA,NA,NA,NA,NA,NA,NA,F
0,461,NA,NA,NA,NA,NA,NA,NA,N
0,462,NA,NA,NA,NA,NA,NA,NA,N
0,463,NA,NA,NA,NA,NA,NA,NA,N
0,464,NA,NA,NA,NA,NA,NA,NA,N
0,465,NA,NA,NA,NA,NA,NA,NA,F
0,466,NA,NA,NA,NA,NA,NA,NA,N
0,467,NA,NA,NA,NA,NA,NA,NA,N
0,468,NA,NA,NA,NA,NA,NA,NA,N
0,469,NA,NA,NA,NA,NA,NA,NA,N
0,470,NA,NA,NA,NA,NA,NA,NA,N
0,471,NA,NA,NA,NA,NA,NA,NA,N
0,472,NA,NA,NA,NA,NA,NA,NA,N
0,473,NA,NA,NA,NA,NA,NA,NA,N
0,474,NA,NA,NA,NA,NA,NA,NA,N
